method,method_label,framework,framework_label,validity,proximity,sparsity,plausibility,actionability,diversity
nearest_neighbor,Nearest Unlike Neighbour,gdpr,GDPR Article 22,1.0,2.1463395061728394,4.6466666666666665,0.5433348843129114,0.10888888888888888,1.7883827160493828
nearest_neighbor,Nearest Unlike Neighbour,cfpb,CFPB Circular 2022-03,1.0,2.8700740740740738,6.737777777777778,1.0,1.0,1.6456543209876546
nearest_neighbor,Nearest Unlike Neighbour,eu_ai_act,EU AI Act (High-Risk),1.0,2.961697530864198,6.84,0.5163515036529275,0.38666666666666666,1.77041975308642
nearest_neighbor,Nearest Unlike Neighbour,unconstrained,Research Baseline,1.0,1.7207222222222223,4.58,1.0,1.0,0.8906419753086419
nice,NICE,gdpr,GDPR Article 22,1.0,2.1463395061728394,4.6466666666666665,0.5433348843129114,0.10888888888888888,1.7883827160493828
nice,NICE,cfpb,CFPB Circular 2022-03,1.0,2.8700740740740738,6.737777777777778,1.0,1.0,1.6456543209876546
nice,NICE,eu_ai_act,EU AI Act (High-Risk),1.0,2.961697530864198,6.84,0.5163515036529275,0.38666666666666666,1.77041975308642
nice,NICE,unconstrained,Research Baseline,1.0,1.7207222222222223,4.58,1.0,1.0,0.8906419753086419
dice_genetic,DiCE-Genetic,gdpr,GDPR Article 22,0.9977777777777778,1.9076585423814811,5.242222222222224,0.514776118342104,0.20666666666666667,0.9543548270000001
dice_genetic,DiCE-Genetic,cfpb,CFPB Circular 2022-03,1.0,2.200050172950617,5.54,1.0,1.0,1.0954328161481481
dice_genetic,DiCE-Genetic,eu_ai_act,EU AI Act (High-Risk),1.0,2.7461242688024687,6.453333333333333,0.4927795157791014,0.6533333333333333,1.0914762465777776
dice_genetic,DiCE-Genetic,unconstrained,Research Baseline,1.0,1.7281481525901234,4.556666666666667,1.0,1.0,1.0726172832
dice_kdtree,DiCE-KDTree,gdpr,GDPR Article 22,1.0,2.163759259785185,4.783333333333333,0.5413579368185915,0.10444444444444442,1.591962962962963
dice_kdtree,DiCE-KDTree,cfpb,CFPB Circular 2022-03,1.0,2.8053827157703703,6.911111111111111,1.0,1.0,1.370975310706173
dice_kdtree,DiCE-KDTree,eu_ai_act,EU AI Act (High-Risk),1.0,2.8811296289,6.923333333333335,0.5177574895372311,0.16666666666666666,1.5661851867037038
dice_kdtree,DiCE-KDTree,unconstrained,Research Baseline,1.0,1.6873827185703703,4.831111111111111,1.0,1.0,0.9460740754666667
ocean,OCEAN,gdpr,GDPR Article 22,1.0,2.1491728395061727,4.655555555555555,0.5456604299828872,0.10888888888888888,1.772827160493827
ocean,OCEAN,cfpb,CFPB Circular 2022-03,1.0,2.8897530864197534,6.808888888888889,1.0,1.0,1.6187654320987657
ocean,OCEAN,eu_ai_act,EU AI Act (High-Risk),1.0,2.977641975308642,6.891111111111112,0.5222221116266581,0.38666666666666666,1.7429876543209877
ocean,OCEAN,unconstrained,Research Baseline,1.0,1.730104938271605,4.608888888888888,1.0,1.0,0.857135802469136
feature_tweaking,Feature Tweaking,gdpr,GDPR Article 22,1.0,1.4367574321286598,3.3777777777777773,0.5399640025701048,0.5155555555555555,1.2824537283498063
feature_tweaking,Feature Tweaking,cfpb,CFPB Circular 2022-03,1.0,2.1508634075491524,5.115555555555555,1.0,1.0,1.318871555559235
feature_tweaking,Feature Tweaking,eu_ai_act,EU AI Act (High-Risk),1.0,2.559979383473801,5.882222222222222,0.5118716196496466,0.4,1.5557912100790885
feature_tweaking,Feature Tweaking,unconstrained,Research Baseline,1.0,1.1410759014031717,3.2111111111111112,1.0,1.0,0.6269554074011525
